CNPJ_CARGA,CODIGO_CARGA,NOME_EMPRESARIAL,Média de Consumo_kWh,PERIODO_COMERCIALIZACAO,CLASSE_PERFIL_AGENTE
40551996000148,7435,VERACEL CELULOSE S.A.,145.40911111111112,12,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,966.4983333333333,13,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,422.09183333333334,14,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,947.5988333333333,15,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,689.5425384615384,16,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,670.2659,17,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,590.112090909091,18,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,1149.7295454545454,19,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,426.8821818181818,20,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,1542.155846153846,21,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,549.8522222222223,22,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,756.3135833333332,23,Consumidor Livre
42150391001819,7521,BRASKEM S.A,20.66071428571429,0,Consumidor Livre
42150391001819,7521,BRASKEM S.A,21.97042857142858,1,Consumidor Livre
42150391001819,7521,BRASKEM S.A,29.46542857142856,2,Consumidor Livre
42150391001819,7521,BRASKEM S.A,28.563285714285712,3,Consumidor Livre
42150391001819,7521,BRASKEM S.A,39.254821428571425,4,Consumidor Livre
42150391001819,7521,BRASKEM S.A,39.02696428571428,5,Consumidor Livre
42150391001819,7521,BRASKEM S.A,20.40003571428571,6,Consumidor Livre
42150391001819,7521,BRASKEM S.A,8.005250000000002,7,Consumidor Livre
42150391001819,7521,BRASKEM S.A,6.717428571428573,8,Consumidor Livre
42150391001819,7521,BRASKEM S.A,5.229214285714285,9,Consumidor Livre
42150391001819,7521,BRASKEM S.A,4.478999999999998,10,Consumidor Livre
42150391001819,7521,BRASKEM S.A,8.610678571428572,11,Consumidor Livre
42150391001819,7521,BRASKEM S.A,5.5470000000000015,12,Consumidor Livre
42150391001819,7521,BRASKEM S.A,6.459214285714287,13,Consumidor Livre
42150391001819,7521,BRASKEM S.A,4.269357142857143,14,Consumidor Livre
42150391001819,7521,BRASKEM S.A,3.2019642857142854,15,Consumidor Livre
42150391001819,7521,BRASKEM S.A,4.281035714285715,16,Consumidor Livre
42150391001819,7521,BRASKEM S.A,7.664321428571428,17,Consumidor Livre
42150391001819,7521,BRASKEM S.A,9.110035714285713,18,Consumidor Livre
42150391001819,7521,BRASKEM S.A,10.679678571428573,19,Consumidor Livre
42150391001819,7521,BRASKEM S.A,11.694464285714288,20,Consumidor Livre
42150391001819,7521,BRASKEM S.A,11.877464285714286,21,Consumidor Livre
42150391001819,7521,BRASKEM S.A,14.747321428571428,22,Consumidor Livre
42150391001819,7521,BRASKEM S.A,17.220178571428573,23,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3382.5860000000002,0,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3476.6330000000003,2,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,2584.4815000000003,3,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3679.656,4,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,2579.6566666666663,5,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,2798.6457499999997,6,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3572.1606666666667,7,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3349.6963333333333,8,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3926.6765,9,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3489.6896666666667,10,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3454.9170000000004,11,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3562.717,12,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,2003.38125,13,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,4070.3085,14,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,2694.222,15,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,2549.075333333333,16,Consumidor Livre
41777706000141,7835,REFINARIA DE MATARIPE S.A.,3384.3123333333333,17,Consumidor Livre
